run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-27-20230714-16:53:53-145925,runattr,,,configname,General,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,datetime,20230714-16:53:53,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,datetimef,20230714-165353,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,experiment,General,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,iterationvars,"$0=""DQSatelliteMac"", $1=""DQNodeMac"", $N=50",,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,iterationvarsd,DQSatelliteMac/DQNodeMac/N=50,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,iterationvarsf,"DQSatelliteMac,DQNodeMac,N=50-",,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,measurement,"$0=""DQSatelliteMac"", $1=""DQNodeMac"", $N=50",,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,processid,145925,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,repetition,0,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,replication,#0,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,resultdir,results,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,runnumber,27,,,,,,,,,,,
General-27-20230714-16:53:53-145925,runattr,,,seedset,27,,,,,,,,,,,
General-27-20230714-16:53:53-145925,itervar,,,N,50,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,image-path,../../images:../../../inet4.3/images,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,sim-time-limit,1000s,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,simtime-resolution,-11,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,**.vector-recording,true,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,rng-class,cMersenneTwister,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,**.ipv4Delayer.config,"xmldoc(""cloudDelays.xml"")",,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.LoRaMedium.pathLoss.typename,FreeSpacePathLoss,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.LoRaMedium.propagation.typename,DtSIoTPropagation,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.LoRaMedium.**.maxTransmissionDuration,4s,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.LoRaMedium.**.minInterferenceTime,0s,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,**.displayAddresses,false,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.visualizer.*.radioVisualizer.displayAntennaLobes,true,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.visualizer.*.dataLinkVisualizer.displayLinks,true,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.visualizer.*.mobilityVisualizer.displayMovementTrails,true,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.visualizer.*.mobilityVisualizer.movementTrailLineWidth,1,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.visualizer.*.mobilityVisualizer.trailLength,3000,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,**.nrOfGW,1,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,**.loRaGW[*].**.initFromDisplayString,false,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.radio.separateTransmissionParts,false,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.radio.separateReceptionParts,false,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.gain,12dB,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.maxGain,12dB,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.minGain,1dB,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.beamWidth,120deg,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.mobility.offsetHeading,120deg,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.radio.iAmGateway,true,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.mac.classUsed,"""A""",,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.mac.beaconTimer,128,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.mac.pingNumber,4,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].LoRaGWNic.mac.typename,DQSatelliteMac,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaNodes[*].LoRaNic.mac.typename,DQNodeMac,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,**.loRaGW[*].numUdpApps,1,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,**.loRaGW[*].packetHandler.destAddresses,"""networkServer""",,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,**.loRaGW[*].packetHandler.destPort,1000,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,**.loRaGW[*].packetHandler.localPort,2000,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].mobility.faceForward,false,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].mobility.updateInterval,20s,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.baseYear,20,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.baseDay,0.8194444,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.satName,"""FLoRaSat""",,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.planes,1,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.satPerPlane,1,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.epochYear,20,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.epochDay,0.8194444,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.eccentricity,0.000001,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.inclination,98,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[*].NoradModule.altitude,600,,,,,,,,,,,
General-27-20230714-16:53:53-145925,config,,,*.loRaGW[0].NoradModule.raan,335,,,,,,,,,,,
