run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-1-20230714-17:45:39-146859,runattr,,,configname,General,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,datetime,20230714-17:45:39,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,datetimef,20230714-174539,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,experiment,General,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,iterationvars,"$0=""RESSIoTSatelliteMac"", $1=""RESSIoTNodeMac"", $N=10",,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,iterationvarsd,RESSIoTSatelliteMac/RESSIoTNodeMac/N=10,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,iterationvarsf,"RESSIoTSatelliteMac,RESSIoTNodeMac,N=10-",,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,measurement,"$0=""RESSIoTSatelliteMac"", $1=""RESSIoTNodeMac"", $N=10",,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,processid,146859,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,repetition,0,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,replication,#0,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,resultdir,results,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,runnumber,1,,,,,,,,,,,
General-1-20230714-17:45:39-146859,runattr,,,seedset,1,,,,,,,,,,,
General-1-20230714-17:45:39-146859,itervar,,,N,10,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,image-path,../../images:../../../inet4.3/images,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,sim-time-limit,1000s,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,simtime-resolution,-11,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.vector-recording,true,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,rng-class,cMersenneTwister,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.ipv4Delayer.config,"xmldoc(""cloudDelays.xml"")",,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.LoRaMedium.pathLoss.typename,FreeSpacePathLoss,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.LoRaMedium.propagation.typename,DtSIoTPropagation,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.LoRaMedium.**.maxTransmissionDuration,4s,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.LoRaMedium.**.minInterferenceTime,0s,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.displayAddresses,false,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.visualizer.*.radioVisualizer.displayAntennaLobes,true,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.visualizer.*.dataLinkVisualizer.displayLinks,true,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.visualizer.*.mobilityVisualizer.displayMovementTrails,true,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.visualizer.*.mobilityVisualizer.movementTrailLineWidth,1,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.visualizer.*.mobilityVisualizer.trailLength,3000,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.nrOfGW,1,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.loRaGW[*].**.initFromDisplayString,false,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.radio.separateTransmissionParts,false,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.radio.separateReceptionParts,false,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.gain,12dB,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.maxGain,12dB,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.minGain,1dB,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.beamWidth,120deg,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.mobility.offsetHeading,120deg,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.radio.iAmGateway,true,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.mac.classUsed,"""A""",,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.mac.beaconTimer,128,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.mac.pingNumber,4,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].LoRaGWNic.mac.typename,RESSIoTSatelliteMac,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaNodes[*].LoRaNic.mac.typename,RESSIoTNodeMac,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.loRaGW[*].numUdpApps,1,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.loRaGW[*].packetHandler.destAddresses,"""networkServer""",,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.loRaGW[*].packetHandler.destPort,1000,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.loRaGW[*].packetHandler.localPort,2000,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].mobility.faceForward,false,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].mobility.updateInterval,20s,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.baseYear,20,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.baseDay,0.8194444,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.satName,"""FLoRaSat""",,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.planes,1,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.satPerPlane,1,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.epochYear,20,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.epochDay,0.8194444,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.eccentricity,0.000001,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.inclination,98,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[*].NoradModule.altitude,600,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[0].NoradModule.raan,335,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[0].NoradModule.meanAnomaly,335,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,*.loRaGW[0].*.satIndex,0,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.nrOfNodes,10,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.numberOfPacketsToSend,0,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.timeToFirstPacket,0s,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.timeToNextPacket,"max(30s, exponential(180s))",,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.alohaChannelModel,false,,,,,,,,,,,
General-1-20230714-17:45:39-146859,config,,,**.usingAck,false,,,,,,,,,,,
