run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-2-20230710-18:11:27-85794,runattr,,,configname,General,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,datetime,20230710-18:11:27,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,datetimef,20230710-181127,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,experiment,General,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,iterationvars,"$N=30, $0=""avg""",,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,iterationvarsd,N=30/avg,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,iterationvarsf,"N=30,avg-",,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,measurement,"$N=30, $0=""avg""",,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,processid,85794,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,repetition,0,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,replication,#0,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,resultdir,results,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,runnumber,2,,,,,,,,,,,
General-2-20230710-18:11:27-85794,runattr,,,seedset,2,,,,,,,,,,,
General-2-20230710-18:11:27-85794,itervar,,,N,30,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,image-path,../../images:../../../inet4.3/images,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,sim-time-limit,1000s,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,simtime-resolution,-11,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.vector-recording,true,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,rng-class,cMersenneTwister,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.ipv4Delayer.config,"xmldoc(""cloudDelays.xml"")",,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.LoRaMedium.pathLoss.typename,FreeSpacePathLoss,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.LoRaMedium.propagation.typename,DtSIoTPropagation,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.LoRaMedium.**.maxTransmissionDuration,4s,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.LoRaMedium.**.minInterferenceTime,0s,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.displayAddresses,false,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.visualizer.*.radioVisualizer.displayAntennaLobes,true,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.visualizer.*.dataLinkVisualizer.displayLinks,true,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.visualizer.*.mobilityVisualizer.displayMovementTrails,true,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.visualizer.*.mobilityVisualizer.movementTrailLineWidth,1,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.visualizer.*.mobilityVisualizer.trailLength,3000,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.nrOfGW,1,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.loRaGW[*].**.initFromDisplayString,false,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.radio.separateTransmissionParts,false,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.radio.separateReceptionParts,false,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.gain,12dB,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.maxGain,12dB,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.minGain,1dB,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.beamWidth,120deg,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.radio.antenna.mobility.offsetHeading,120deg,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.radio.iAmGateway,true,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.mac.classUsed,"""A""",,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.mac.beaconTimer,128,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.mac.pingNumber,4,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].LoRaGWNic.mac.typename,RESSIoTSatelliteMac,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaNodes[*].LoRaNic.mac.typename,RESSIoTNodeMac,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.loRaGW[*].numUdpApps,1,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.loRaGW[*].packetHandler.destAddresses,"""networkServer""",,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.loRaGW[*].packetHandler.destPort,1000,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.loRaGW[*].packetHandler.localPort,2000,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].mobility.faceForward,false,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].mobility.updateInterval,20s,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.baseYear,20,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.baseDay,0.8194444,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.satName,"""FLoRaSat""",,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.planes,1,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.satPerPlane,1,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.epochYear,20,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.epochDay,0.8194444,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.eccentricity,0.000001,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.inclination,98,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[*].NoradModule.altitude,600,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[0].NoradModule.raan,335,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[0].NoradModule.meanAnomaly,335,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,*.loRaGW[0].*.satIndex,0,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.nrOfNodes,30,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.numberOfPacketsToSend,0,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.timeToFirstPacket,0s,,,,,,,,,,,
General-2-20230710-18:11:27-85794,config,,,**.timeToNextPacket,"max(30s, exponential(180s))",,,,,,,,,,,
